# rank frequency word
1341 16 missing
1342 16 neither
1343 16 north
1344 16 numerous
1345 16 oceans
1346 16 paused
1347 16 piece
1348 16 pleasant
1349 16 please
1350 16 proved
1351 16 putting
1352 16 rare
1353 16 respect
1354 16 return
1355 16 rock
1356 16 scientific
1357 16 seven
1358 16 shake
1359 16 showed
1360 16 sit
1361 16 slid
1362 16 special
1363 16 spouts
1364 16 spray
1365 16 straits
1366 16 stricken
1367 16 stroke
1368 16 summer
1369 16 thousands
1370 16 tow
1371 16 twelve
1372 16 unaccountable
1373 16 uncommon
1374 16 watching
1375 16 weary
1376 16 whenever
1377 16 window
1378 15 additional
1379 15 afraid
1380 15 ages
1381 15 apart
1382 15 armed
1383 15 blast
1384 15 blind
1385 15 boiling
1386 15 breakfast
1387 15 broke
1388 15 bucket
1389 15 bull
1390 15 canal
1391 15 carrying
1392 15 city
1393 15 contact
1394 15 coward
1395 15 critical
1396 15 crossed
1397 15 cunning
1398 15 dare
1399 15 direction
1400 15 disappeared
1401 15 doing
1402 15 donations
1403 15 drag
1404 15 dry
1405 15 dying
1406 15 effect
1407 15 elijah
1408 15 employed
1409 15 endless
1410 15 events
1411 15 exceedingly
1412 15 exclaimed
1413 15 f
1414 15 faces
1415 15 faith
1416 15 fins
1417 15 firm
1418 15 flood
1419 15 frantic
1420 15 frequently
1421 15 german
1422 15 grass
1423 15 hail
1424 15 heaving
1425 15 helped
1426 15 horrible
1427 15 ii
1428 15 immortal
1429 15 job
1430 15 keeping
1431 15 lads
1432 15 latitudes
1433 15 latter
1434 15 letter
1435 15 marble
1436 15 marks
1437 15 marvellous
1438 15 measure
1439 15 mention
1440 15 money
1441 15 moving
1442 15 nearer
1443 15 oarsman
1444 15 officer
1445 15 opening
1446 15 ourselves
1447 15 pains
1448 15 palms
1449 15 perilous
1450 15 position
1451 15 probably
1452 15 proceed
1453 15 pumps
1454 15 pushed
1455 15 rod
1456 15 roman
1457 15 rushed
1458 15 sank
1459 15 save
1460 15 season
1461 15 secured
1462 15 seek
1463 15 send
1464 15 shadow
1465 15 shadows
1466 15 shock
1467 15 signs
1468 15 silently
1469 15 sleet
1470 15 space
1471 15 spoke
1472 15 steak
1473 15 streets
1474 15 superior
1475 15 supposed
1476 15 torn
1477 15 tried
1478 15 troubled
1479 15 tun
1480 15 utmost
1481 15 vapor
1482 15 violent
1483 15 wish
1484 15 working
1485 15 wrinkled
1486 15 wrinkles
1487 15 yield
1488 14 ambergris
1489 14 arrived
1490 14 asked
1491 14 awe
1492 14 beware
1493 14 blanket
1494 14 boots
1495 14 buoy
1496 14 buried
1497 14 canvas
1498 14 capture
1499 14 care
1500 14 carved
1501 14 character
1502 14 chased
1503 14 church
1504 14 closely
1505 14 considered
1506 14 continual
1507 14 continued
1508 14 corpse
1509 14 crazy
1510 14 crow
1511 14 customary
1512 14 darting
1513 14 declared
1514 14 deemed
1515 14 departed
1516 14 entered
1517 14 equal
1518 14 erect
1519 14 fat
1520 14 fingers
1521 14 fly
1522 14 foe
1523 14 food
1524 14 forming
1525 14 gained
1526 14 glancing
1527 14 glided
1528 14 gliding
1529 14 grew
1530 14 handle
1531 14 hit
1532 14 hither
1533 14 honest
1534 14 hue
1535 14 included
1536 14 indirectly
1537 14 intent
1538 14 jack
1539 14 leak
1540 14 leaping
1541 14 lively
1542 14 london
1543 14 luck
1544 14 mat
1545 14 meant
1546 14 meets
1547 14 merry
1548 14 minds
1549 14 mountains
1550 14 mounted
1551 14 moved
1552 14 naught
1553 14 need
1554 14 notice
1555 14 occasionally
1556 14 opinion
1557 14 paid
1558 14 partly
1559 14 perceived
1560 14 phantom
1561 14 piled
1562 14 planted
1563 14 points
1564 14 prey
1565 14 reach
1566 14 receiving
1567 14 reference
1568 14 returned
1569 14 rolls
1570 14 seizing
1571 14 sense
1572 14 simultaneously
1573 14 sounding
1574 14 split
1575 14 square
1576 14 stars
1577 14 street
1578 14 terrific
1579 14 throw
1580 14 token
1581 14 tormented
1582 14 towing
1583 14 trademark
1584 14 trees
1585 14 tub
1586 14 unseen
1587 14 worth
1588 14 written
1589 14 yea
1590 13 archive
1591 13 backs
1592 13 belonged
1593 13 big
1594 13 bunger
1595 13 bye
1596 13 calmly
1597 13 canst
1598 13 chanced
1599 13 chap
1600 13 circles
1601 13 cod
1602 13 conceit
1603 13 dangerous
1604 13 den
1605 13 doubtless
1606 13 eager
1607 13 ebook
1608 13 elsewhere
1609 13 extreme
1610 13 fathoms
1611 13 finger
1612 13 flank
1613 13 forge
1614 13 fourth
1615 13 gain
1616 13 ghost
1617 13 greater
1618 13 grounds
1619 13 hearing
1620 13 herd
1621 13 idol
1622 13 john
1623 13 ladies
1624 13 latitude
1625 13 leaned
1626 13 leap
1627 13 leaped
1628 13 lesson
1629 13 lighted
1630 13 literary
1631 13 lived
1632 13 loaded
1633 13 mankind
1634 13 manned
1635 13 matters
1636 13 moody
1637 13 mrs
1638 13 names
1639 13 outs
1640 13 polar
1641 13 ponderous
1642 13 possession
1643 13 practical
1644 13 prairie
1645 13 private
1646 13 prove
1647 13 pulled
1648 13 quantity
1649 13 reaching
1650 13 readily
1651 13 remarkable
1652 13 resolved
1653 13 rib
1654 13 roared
1655 13 ropes
1656 13 salt
1657 13 seaman
1658 13 secure
1659 13 setting
1660 13 shook
1661 13 shoulders
1662 13 silver
1663 13 sinking
1664 13 slightly
1665 13 sooner
1666 13 spoken
1667 13 sprang
1668 13 stay
1669 13 steering
1670 13 stout
1671 13 straightway
1672 13 subsequent
1673 13 supplied
1674 13 swallowed
1675 13 swear
1676 13 sweep
1677 13 swinging
1678 13 theirs
1679 13 tide
1680 13 tied
1681 13 tiller
1682 13 tore
1683 13 touched
1684 13 tower
1685 13 trowsers
1686 13 tubs
1687 13 twice
1688 13 utterly
1689 13 visit
1690 13 volume
1691 13 warp
1692 13 wherefore
1693 13 wonders
1694 13 wreck
1695 12 afloat
1696 12 america
1697 12 ashes
1698 12 ball
1699 12 barbs
1700 12 bears
1701 12 becomes
1702 12 begin
1703 12 bent
1704 12 bowels
1705 12 brother
1706 12 burning
1707 12 bursting
1708 12 calling
1709 12 calls
1710 12 capstan
1711 12 catch
1712 12 caused
1713 12 central
1714 12 centuries
1715 12 clouds
1716 12 conduct
1717 12 connected
1718 12 conscience
1719 12 contrary
1720 12 contrast
1721 12 countenance
1722 12 cursed
1723 12 deal
1724 12 derick
1725 12 descend
1726 12 desperate
1727 12 direct
1728 12 downwards
1729 12 draw
1730 12 dread
1731 12 drowned
1732 12 dumb
1733 12 ear
1734 12 eating
1735 12 enchanted
1736 12 enter
1737 12 evil
1738 12 exceeding
1739 12 excellent
1740 12 external
1741 12 falling
1742 12 family
1743 12 fashioned
1744 12 fearful
1745 12 field
1746 12 firmly
1747 12 fitted
1748 12 fleece
1749 12 force
1750 12 forms
1751 12 glad
1752 12 gloom
1753 12 greatest
1754 12 happens
1755 12 haul
1756 12 hearted
1757 12 heaved
1758 12 hemp
1759 12 hoisting
1760 12 horror
1761 12 howling
1762 12 iii
1763 12 insult
1764 12 interior
1765 12 involuntarily
1766 12 isle
1767 12 key
1768 12 knowledge
1769 12 ladder
1770 12 landed
1771 12 lantern
1772 12 leading
1773 12 lean
1774 12 lengthwise
1775 12 lift
1776 12 lonely
1777 12 loud
